host_name,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,host_id
Olivia,1,2015-07-19,0.02,1,37091023
Mary,3,2016-09-09,0.08,1,37095710
Neil,5,2015-12-30,0.11,1,37096607
Sasha,1,2015-07-06,0.02,1,11453695
Javier,1,2016-01-02,0.02,1,6766728
Bronson & Sam,101,2018-12-01,2.07,2,32212535
Danni,1,2015-08-03,0.02,1,22095455
Alexander,7,2017-01-01,0.15,1,27919510
John And Kelsey,112,2019-06-21,2.29,1,37138042
Bryan,17,2019-04-07,0.35,1,3923244
Jermaine Antonio,103,2019-02-28,2.16,1,24982709
Amanda,14,2018-12-29,0.42,1,3974249
Joann,0,,,1,5476918
Evyan,0,,,1,10566585
Benjamin,2,2015-07-15,0.04,1,12602098
Madi,55,2019-06-30,1.28,1,37157641
Ryan,3,2016-01-02,0.06,1,19834927
Christina,3,2017-07-21,0.11,3,10285950
Jacky,18,2017-10-08,0.52,1,24825760
Ryan,160,2019-06-22,3.39,1,7719262
Nikolas,2,2018-06-25,0.04,1,14329995
Sara,0,,,1,37170055
Rachel,36,2019-05-21,0.75,1,16381764
Dan,1,2015-07-17,0.02,1,36562419
Svetlana,178,2019-07-05,3.72,1,37181980
Raj,0,,,1,3946744
Alex,0,,,1,25109461
Naomi,5,2019-01-08,0.11,1,12749467
Gwendolyn,14,2016-05-01,0.3,1,22625462
Julianna,6,2015-10-04,0.13,1,10896584
Adriana,2,2016-08-27,0.04,1,2052211
Olta,1,2015-07-24,0.02,1,37186427
Nastasha,0,,,1,1714147
Anne-Sophie,0,,,1,2252859
Kevin,1,2015-07-23,0.02,1,37191710
John,31,2018-03-04,0.67,1,37191929
Alexis,44,2019-07-02,0.92,1,9819284
Mckinley,38,2019-07-06,0.81,2,32252422
Stacey,7,2018-08-01,0.16,1,37011739
Andrea,2,2015-10-17,0.04,1,3627066
Kudjo,5,2016-08-22,0.1,1,3664074
Amber,1,2016-08-19,0.03,1,24797068
Alexandra,9,2019-07-01,0.19,1,37229098
Anna,1,2015-09-05,0.02,1,3801047
Roger,0,,,1,37248762
Shira,5,2018-02-24,0.17,1,37252712
Shahar,6,2019-06-07,0.15,2,26998839
Basil,0,,,1,11725595
Louis,0,,,1,34866720
Mario,4,2017-06-06,0.13,1,16296388
Moe,207,2019-07-02,4.26,1,36903907
Jake,37,2016-09-08,0.78,1,37166807
Leila,2,2015-09-07,0.04,1,7078254
Latoya,77,2019-04-23,1.65,1,37291339
Gill,99,2019-06-23,2.08,1,20515254
David,0,,,1,37275619
Preston,0,,,1,33002613
Janis,0,,,1,1788377
Hila,1,2015-12-31,0.02,1,2055744
Maya,448,2019-07-07,9.63,5,37312959
Aryeh,4,2016-10-26,0.09,1,5549408
Melissa,0,,,2,19187413
Noah,0,,,1,37325763
Deniz,0,,,1,37191276
Thibault,10,2017-10-10,0.21,1,37332180
Caitlin,5,2016-02-29,0.11,1,950041
Timothy,0,,,1,37331914
Alyson,47,2019-05-28,1.01,1,1574618
Akash,8,2016-05-15,0.17,1,3704762
Roberta & Rob,14,2017-10-15,0.29,1,2830197
Camille,0,,,1,37357605
Rachid,22,2019-06-04,0.46,1,23988743
Francesco,0,,,2,37362312
Ashraful,32,2016-07-02,0.67,2,37188098
Harry,120,2019-06-27,2.75,1,37368735
Abdur,0,,,1,36715249
Cécile,0,,,1,37396328
Jenny,86,2019-06-30,1.78,1,37405985
David,8,2016-09-04,0.17,1,37410263
Christina,1,2015-07-09,0.02,1,34582356
Mel,0,,,1,37360127
Jacqui,0,,,1,37440707
Ali,6,2017-06-21,0.16,1,16478353
Eric,0,,,1,37442404
Hadrien,6,2018-10-20,0.17,1,37453881
Angelle,74,2019-04-30,1.83,2,6312248
Matthew,0,,,1,1279181
David,174,2019-06-12,3.58,1,5602641
Dov,3,2018-07-31,0.09,1,15878233
Steven,14,2018-09-13,0.37,1,292421
Juju,9,2019-01-25,0.19,1,334348
Sonia,3,2015-10-05,0.06,1,37503617
Fabrice,0,,,1,19055216
Rebecka,5,2016-04-14,0.1,1,37565381
Karen,4,2015-07-19,0.08,1,20914965
Allison,9,2019-06-15,0.41,1,25912623
Ana,17,2019-01-06,0.37,5,37579015
Dana,1,2015-09-05,0.02,1,36903246
Alex,0,,,1,37588475
Maria,1,2016-06-29,0.03,1,32933539
Cecilia,8,2019-04-21,0.17,1,37587378
Maria,7,2016-10-10,0.15,1,780952
Malka,0,,,1,15115649
Andrew And Talia,47,2017-03-16,0.98,3,37563411
Linda,0,,,1,37614545
Brian,1,2019-01-01,0.16,3,3508047
Stephanie,2,2015-08-10,0.04,1,4993337
Brian,11,2016-11-26,0.23,1,37668524
Natasha,4,2015-10-24,0.08,1,33739627
Aj,0,,,2,9484908
Emma,20,2018-11-11,0.41,1,7546816
Andrew,28,2016-12-20,0.59,1,16782665
Tina,42,2019-06-22,1.03,1,37633503
Doug,9,2015-10-28,0.19,1,22502429
Craig,2,2015-11-29,0.04,1,2902496
Andrew,8,2018-05-28,0.19,1,37691482
Carly,9,2018-12-30,0.23,1,140817
Rachel,1,2015-07-21,0.02,1,30066276
Elizabeth,151,2019-05-19,3.16,1,11241369
Brooks,1,2015-07-27,0.02,1,21651082
Barry,0,,,1,37243004
Anders,0,,,1,6674211
Aleksandar,25,2019-06-30,0.53,1,37711914
Wes,262,2019-06-20,5.41,2,7252535
Tara,0,,,1,21381325
Anna,152,2019-06-23,3.16,2,37723496
Chiara,0,,,1,7065810
Rachel,4,2016-07-25,0.11,1,37188272
Ayesha,18,2017-09-30,0.39,1,35651880
Natalie,3,2016-01-02,0.06,1,16282382
Alyssa,0,,,1,25712247
Debbie,17,2019-05-20,0.37,1,37731444
Ella,10,2016-09-03,0.21,1,37731966
Brendan,11,2019-06-26,0.24,1,37731938
Catlin,0,,,1,17383399
Ali,95,2018-12-10,1.97,1,37735816
Autumn,6,2018-01-25,0.13,1,15491509
Tracey,117,2019-06-29,2.48,1,37737721
Kylie,0,,,1,22792227
Nataraj,4,2019-06-02,0.09,1,3415
Joyce,3,2016-01-01,0.06,1,12460557
Kirsti,3,2016-07-25,0.08,1,17464442
Kate,5,2019-04-20,0.1,1,10910216
Mark,4,2017-04-29,0.09,2,1283476
Katherine,1,2018-09-02,0.1,1,6466155
Natalie,30,2019-03-24,0.65,3,1903737
Yasmin,1,2015-08-01,0.02,1,92436
Fon,2,2016-03-13,0.04,1,18489745
Tony,18,2017-04-17,0.38,1,6403403
Eddie,3,2017-07-01,0.06,1,5998033
Fay,15,2019-05-20,0.33,1,5570436
Tina,206,2019-07-03,4.24,1,9288577
Graham,0,,,1,6407741
Adriana,56,2019-06-28,1.23,2,1639755
Jonas,0,,,2,9166253
Adam,66,2018-12-23,2.99,1,37101663
Benjamin,0,,,1,700231
Jessica,3,2018-05-27,0.08,2,11107448
Frances,0,,,1,1793569
Evan,11,2019-05-20,0.24,1,1762355
Kim,14,2019-05-29,0.3,1,8438140
Joseph,0,,,1,19806276
Gabriel,1,2015-07-20,0.02,1,37903935
Talal,5,2016-07-20,0.13,1,37904263
Justin You,1,2015-09-04,0.02,1,14905080
Kim,0,,,1,37909191
Jocelyn,9,2019-06-11,0.19,1,4419418
Chavi,10,2018-11-05,0.21,1,2519631
John And Laurie,2,2015-10-29,0.04,1,6697833
Steph,6,2016-11-19,0.12,1,3302103
Greg,49,2019-06-07,1.01,2,37915862
Sarah,3,2018-01-03,0.08,1,37932285
Edward,9,2016-10-02,0.23,1,37934478
Joanna,0,,,1,9481957
Nicholas,3,2017-03-02,0.06,1,9539044
Jenna,0,,,1,31245915
Rosie,18,2019-01-02,0.37,1,920222
Marianna,44,2019-06-23,0.92,1,3586177
Desmond,139,2019-06-30,3.14,2,26411218
Marcus,13,2019-05-18,0.27,1,37947830
Sarah,1,2015-07-27,0.02,1,2483508
Kim,5,2015-09-07,0.1,1,16183358
Jenni,12,2019-05-16,0.25,2,3695529
Addie,7,2019-01-27,0.15,1,37987441
Alan,30,2019-06-10,0.62,1,1468231
Ali,17,2017-08-10,0.36,1,1467387
Kimberly,13,2018-04-04,0.37,1,14726038
John,1,2015-07-13,0.02,1,23387933
Conrad,204,2019-06-22,4.24,1,2662538
Emma,1,2015-07-12,0.02,1,20404001
Akira,87,2019-06-30,1.91,1,5499064
Kai,0,,,1,24269641
Jennifer,0,,,1,38010132
Monada,0,,,1,24884055
Elise,0,,,1,37325782
Ramona,2,2015-11-07,0.04,1,38029848
Jessica,13,2016-12-27,0.27,1,5030772
Me'lissa,0,,,1,15416709
Melissa,2,2015-08-21,0.04,1,38032297
Olivier,12,2018-01-30,0.25,1,6994503
Ming,102,2019-06-19,2.17,1,912400
Tim,11,2018-05-24,0.24,1,7118658
Robin,11,2018-12-27,0.23,1,38038797
Amelia,2,2015-08-17,0.04,1,15899061
Nicole,0,,,1,38073985
Hanna,0,,,1,38076944
Al-Nisa,0,,,1,7079175
Brooklyn,163,2019-06-30,3.4,1,21336136
Michelle,0,,,1,16398769
Kristine,5,2016-04-04,0.11,1,19491505
Laura,211,2019-06-24,4.37,2,31851704
Jada,2,2015-08-25,0.04,2,228858
Sabrina,3,2015-10-23,0.06,1,24821272
Lucia,1,2015-08-04,0.02,1,38101644
Jack,0,,,1,24772574
Hayley,1,2015-09-02,0.02,1,6862694
Susi,130,2019-06-23,2.71,1,22816592
Chris,48,2017-09-06,1.04,1,1557442
Nick,0,,,1,13904931
Junho,0,,,1,7705129
Tatiana,13,2017-05-08,0.28,1,5369287
Igor,137,2019-06-24,2.84,1,97580
Liz,3,2016-11-16,0.06,1,38169148
Lori,0,,,1,13976139
Carol,13,2019-05-25,0.3,1,9403624
Lauren,0,,,1,2993160
James,2,2016-08-01,0.04,2,10353278
Emily,2,2016-08-10,0.05,1,1533248
Amanda,69,2019-06-16,1.52,1,37623794
Andrea,0,,,1,38269863
Vasily,5,2015-09-15,0.1,2,38272413
Seth,4,2016-07-11,0.09,1,16237939
Claire,1,2015-07-20,0.02,1,26364541
Ruth,1,2015-08-07,0.02,2,38284667
Nathaniel,8,2017-06-26,0.22,1,38288441
Melody,1,2015-07-22,0.02,1,34873213
Casandra,48,2019-04-29,1.83,2,7737249
Mark,11,2019-01-06,0.31,1,38292974
Daniel & Lia,1,2018-08-19,0.09,1,14715701
Joan,1,2015-08-08,0.02,1,38294553
Suvi,1,2016-01-05,0.02,1,38297695
Rushil,1,2015-07-21,0.02,1,38294027
Carina,3,2015-11-28,0.06,1,1603343
Yulia,24,2019-06-29,0.51,1,3390947
Lauren,7,2016-03-09,0.15,2,1641537
Antoine,22,2018-12-27,0.46,1,38337856
Reah,0,,,1,18605510
Adam,4,2016-05-22,0.09,1,11773680
Benjamin,42,2017-08-14,0.87,1,19692652
R Demetre,2,2015-10-08,0.04,2,5499953
Chris,5,2016-11-28,0.13,1,38350446
Ashley,1,2015-07-20,0.02,1,38352423
Johnathan Boev,2,2015-09-07,0.04,1,24259346
Cody,0,,,1,38360286
Zeina,21,2019-06-24,1.23,1,2303270
Kimberly,8,2015-09-02,0.17,2,942252
Kenya,5,2015-09-26,0.1,1,379663
J,58,2019-06-10,1.21,1,38373441
Clara,1,2015-09-29,0.02,1,1841169
Tiffany,4,2018-01-01,0.08,1,38380486
Rachel,2,2016-02-21,0.05,1,33300449
Ruth,56,2019-06-27,2.65,1,38388018
Julianne,2,2015-10-03,0.04,1,27630423
Sharlene,12,2019-06-16,0.27,1,38390671
Maria,7,2017-12-31,0.15,1,15743291
Lor,0,,,1,2482069
Emma,10,2016-03-28,0.21,1,38392850
Andrew,14,2018-06-26,0.29,1,38398698
Clayton,33,2018-04-20,0.68,2,18008678
James,74,2019-06-09,1.59,1,22373907
Wes,5,2016-10-17,0.11,1,681331
Suwan,0,,,1,23851015
Alena,0,,,1,38405623
Drew,10,2017-01-17,0.21,1,5628243
Huishan,0,,,1,38433605
Ariel,1,2017-11-24,0.05,1,9892766
Jeff,30,2018-06-26,0.62,1,36625404
Aly,14,2018-01-12,0.29,1,38452274
Curtis,7,2016-10-28,0.14,1,6772512
Andre,6,2016-01-09,0.13,1,11354707
Cate,2,2015-09-22,0.04,1,21498479
Leon,27,2019-03-09,0.57,2,38460304
Gregory,142,2019-06-23,3.1,1,13891989
Kerry,2,2016-04-24,0.04,1,12149983
Christina,0,,,1,38480809
Arnold,6,2016-09-05,0.13,1,38480982
Clara,1,2015-08-28,0.02,1,9166875
Fiona,1,2016-07-21,0.03,1,6284410
Martina,1,2016-07-13,0.03,1,21056821
Ian,7,2016-10-21,0.16,1,3369909
Don,1,2015-08-02,0.02,1,38497438
Karen,211,2019-07-07,5.13,2,4579626
Alon,0,,,1,5042891
Viviana,71,2019-06-29,1.47,1,15147904
Ricky,4,2019-07-01,0.09,2,31469635
Matt,1,2015-07-22,0.02,1,38507835
Alice,2,2015-08-29,0.04,1,26925894
JaimeLee & Travis,6,2019-01-04,0.19,1,3484734
Mary,0,,,1,12644018
Raven,0,,,1,26202073
Nick And Julia,148,2019-07-03,3.16,1,2127057
Jennifer,2,2015-09-21,0.04,1,38445572
Shane,0,,,1,13896003
Quinn,2,2015-12-30,0.04,1,38569616
Deidrea,2,2015-08-19,0.04,1,38567763
Jasmine,0,,,1,2164856
Loreta,21,2019-06-17,0.47,1,34834676
Ian,2,2015-08-17,0.04,1,38583557
Thomas,0,,,1,8144621
Chantal,1,2015-07-22,0.02,1,38599690
Yoav,6,2017-08-18,0.13,1,1472993
Jakob,2,2016-02-02,0.05,1,4964848
Jennifer,1,2015-07-23,0.02,1,31452390
Hanna,8,2018-08-27,0.17,1,38606448
Babita,20,2019-03-08,0.42,1,3890297
Vlad,0,,,3,9059810
Karen,11,2019-06-09,1.16,1,32004384
Melissa,1,2015-09-04,0.02,1,11129295
Alexi,4,2015-08-12,0.08,1,27283579
Dee,0,,,1,38661692
Philip,113,2019-06-18,2.33,2,16283468
Paul,34,2019-04-26,0.76,2,33365473
Klara,9,2017-11-04,0.19,1,12866178
Randy,24,2016-06-10,0.5,1,38672291
Phil,0,,,1,16548316
Saga,2,2016-01-02,0.04,1,19504544
Paul,14,2018-08-29,0.35,1,4907734
Andrew,2,2015-10-09,0.04,1,14281112
Stanley,2,2015-07-31,0.04,1,38678875
Zack,2,2015-08-14,0.04,1,1163720
Greta,0,,,1,25705189
Maria,3,2018-09-05,0.06,2,38404959
Robert,4,2015-11-28,0.08,1,12517331
Mike,9,2016-06-27,0.24,1,38694062
Alexander,0,,,1,38702813
Andrew,1,2015-07-23,0.02,1,37993952
Taylor,0,,,1,38712916
Seb,74,2019-06-03,1.64,1,1173652
Priscila,0,,,1,38741040
Gagandeep,0,,,2,23425862
Noëmi,18,2016-09-15,0.37,1,7489344
Joanne,2,2015-09-06,0.04,1,38757107
Jenna,0,,,1,9991314
Nathaniel,3,2015-09-13,0.06,1,38759330
Michael,1,2015-08-17,0.02,1,7983308
Daniel,2,2015-08-31,0.04,1,28269324
Nicholas,1,2015-09-02,0.02,1,5898139
Sarah,2,2017-09-28,0.08,1,38706510
Caitlin,2,2015-12-29,0.04,1,38767720
Guillermo,0,,,1,393944
Sean,6,2016-08-02,0.12,1,4343834
Shaquana,23,2017-06-12,0.59,1,32604265
Jean,0,,,1,3911807
Josh,2,2015-11-02,0.04,1,10832128
Dusan,3,2015-08-20,0.06,1,11962385
William,11,2015-12-28,0.23,1,38788236
Kit,0,,,1,38791434
NYC Hostess,14,2019-05-14,0.3,1,15107351
Alexander,1,2015-08-07,0.02,1,1405974
Helena,0,,,1,38796373
Nadine,1,2016-05-01,0.03,1,3401676
EmiLy,3,2016-05-13,0.08,1,5417646
John,62,2018-06-06,1.3,1,38827405
Louis,28,2019-06-22,0.61,1,3750905
Andrew,2,2015-08-03,0.04,1,1023985
Samantha,7,2018-09-11,0.15,1,38832294
Israel,0,,,1,15824880
Elwanda,130,2019-07-06,2.72,1,38850307
David,1,2015-09-06,0.02,1,3417039
Sholeh,2,2015-12-01,0.04,1,11239404
Matt,21,2017-11-26,0.44,1,37028138
Luke,0,,,1,601586
Pippa,1,2015-10-18,0.02,1,6575777
Nick,6,2018-04-18,0.17,2,30423241
Will,0,,,1,22805576
Rosalia,1,2015-08-10,0.02,1,19135506
Max,0,,,1,4875631
Jess,9,2015-09-26,0.19,1,22344488
Michal,178,2019-06-23,3.7,1,38902136
Jean,22,2016-11-20,0.5,2,38914517
Emmanuel,2,2015-12-18,0.05,1,16617981
Tanya,4,2017-08-01,0.09,2,4279384
Carl,1,2018-06-16,0.08,1,34789416
Crystal,15,2017-06-08,0.34,2,2134232
Tricia,1,2015-09-13,0.02,1,38943127
Allon,4,2015-12-27,0.08,1,38946305
Patricia,106,2019-06-08,2.2,1,38948315
Su,6,2015-12-07,0.13,1,28460565
David,0,,,1,4807448
Joanna,0,,,1,38952124
J And Lana,59,2019-06-23,1.24,1,6367907
Meredith,30,2019-06-19,0.63,1,1025745
Maud,2,2015-08-23,0.04,1,17942384
Jen,16,2017-05-28,0.43,1,38965196
Lance,28,2018-01-01,0.6,1,38840706
Abby,0,,,1,38973529
Mariza,2,2016-12-03,0.06,1,25615380
Rachael,3,2017-02-11,0.06,1,6223874
Margo,5,2016-09-07,0.1,1,3676701
Jordan,0,,,1,429925
Brooklyn&   Breakfast    -Len-,258,2019-06-30,5.45,13,344035
Emmanuelle,36,2019-05-31,0.77,1,39039509
Hilary,12,2018-10-27,0.26,1,38944275
Jason,1,2015-09-02,0.02,1,8670155
Casey,65,2018-09-17,1.37,1,38609509
Arty,17,2019-06-24,0.56,1,2801316
Gabe,30,2018-01-03,0.63,1,1407021
Peter,109,2019-07-01,2.5,2,36849759
Carver,6,2015-08-25,0.12,1,5553132
Bo,145,2019-06-12,3.05,1,39055176
James,6,2015-11-29,0.13,1,2203415
Biruta,10,2018-08-06,0.21,1,37077716
Paul,7,2015-10-22,0.15,1,32691187
Ishan,0,,,1,18922562
Juan,191,2019-06-16,3.97,1,14925591
Lisa,56,2019-06-26,1.25,1,28316637
Natasha,149,2019-06-24,4.08,1,15539137
Guerline,105,2019-06-25,2.67,1,39085295
Pierre,4,2015-12-25,0.08,1,39085072
Alexandra,4,2016-01-04,0.08,2,39126862
Sandro,0,,,2,1534857
Mark,0,,,1,13001047
Ben,0,,,1,3504234
Shawn,34,2019-07-02,0.72,1,34315772
Hannah And Michael,1,2015-08-04,0.02,1,3700637
Barbara & Andrzej,42,2019-07-03,0.89,2,26388084
Sean,9,2019-01-02,0.2,2,39143718
Ben,7,2018-09-02,0.15,1,14291580
Ramiro,8,2019-01-01,0.17,2,39148503
Eric,24,2017-05-07,0.58,1,22652051
Christina,0,,,1,12535775
Cam,7,2016-07-25,0.15,1,10183117
Ilinca,0,,,1,9942424
Lary,4,2015-11-17,0.08,1,4336763
Benjamin,94,2019-05-25,2.02,1,15887987
Taylor,38,2019-06-16,0.8,1,12161280
Jennie,6,2015-08-10,0.12,1,18576994
Gennadiy,1,2015-11-02,0.02,1,10558084
Robert,0,,,1,39186813
Heidi,15,2016-07-20,0.31,1,8435624
Blair,71,2019-05-24,1.54,1,4157435
Devin,149,2019-07-02,3.11,1,14084147
Drew,0,,,1,7202390
Natalie,4,2017-09-30,0.09,1,11816453
Kaivan,4,2016-07-01,0.08,1,33983182
Miyako,1,2016-05-01,0.03,1,35321797
William,23,2019-05-07,0.56,1,39200438
Nicole,1,2016-07-08,0.03,1,30662827
Kara,3,2018-12-07,0.09,121,30283594
Rosalyn,0,,,1,6004716
Zachary,19,2019-05-30,0.43,1,23224059
Michael & Katherine,4,2015-10-12,0.09,1,2045777
Jim,0,,,1,6520502
Nanda,4,2017-02-11,0.09,1,3530591
Stacey,2,2015-12-11,0.05,1,39262419
Lorrin,7,2017-04-11,0.2,1,39268020
Kori,1,2017-09-24,0.05,3,24377694
Ivan,0,,,1,7443028
Damask,0,,,1,19976579
Monte,31,2016-06-26,0.65,1,16960158
Jenny,13,2017-09-14,0.37,1,21742272
Bobby,3,2015-09-21,0.06,1,11279503
Audra,64,2019-06-24,1.38,1,39288710
Caitlin,1,2015-08-09,0.02,2,30320622
Caroline,12,2017-08-21,0.25,1,2260108
Ted,54,2019-04-28,1.14,1,5565918
Justin,3,2015-08-20,0.06,1,39249461
Ikkyukim,15,2019-06-30,0.32,6,32164030
Alex,1,2015-09-03,0.02,1,10131727
Fatima Vélez,0,,,1,22079796
Mirlande,134,2019-06-02,2.88,1,39335488
Philbert,24,2019-07-02,1.48,1,26354652
Andrew,9,2018-09-19,0.19,1,29156329
Mark,12,2018-05-21,0.65,1,30200529
Keisher,15,2018-07-10,0.48,1,39347667
Ingrid,19,2019-07-07,0.4,1,7094504
Cole,5,2016-07-10,0.11,1,39355825
Sandy,0,,,1,23584870
Ricky,3,2015-08-24,0.06,1,13873590
Melissa,0,,,1,1497263
Patrick,7,2015-12-05,0.15,1,37407363
Noel,1,2015-08-09,0.02,1,18277294
Chris,10,2019-01-01,0.22,1,1825554
John,23,2019-06-11,0.49,1,60046
Chisom,1,2015-08-24,0.02,1,29544115
Jasmine,0,,,1,15772306
Sara,3,2015-09-19,0.06,1,39389693
文立,0,,,1,39394883
Travis,183,2019-07-01,3.9,1,397423
Julia,1,2015-07-25,0.02,1,39298265
Elizabeth,20,2018-12-09,0.42,1,11203708
Mike,2,2015-09-03,0.04,1,39457267
Jen,3,2015-07-25,0.06,1,810560
Brian,60,2018-10-28,1.26,1,12215421
Layka,203,2019-06-29,4.27,1,16387794
Jen,37,2017-03-04,0.77,1,39480845
Laura,2,2015-08-05,0.04,1,39483454
Craig,0,,,1,39503857
Lindsay,96,2019-07-03,2.07,1,31086628
Bettina,2,2016-10-14,0.04,1,1110017
Lila (Eli),107,2019-06-23,2.22,2,9646150
Eugene,12,2017-02-19,0.27,1,31799541
B,1,2015-08-12,0.02,1,7753501
Arthur,68,2019-05-27,2.54,1,39533449
Jasmine,7,2016-10-23,0.15,1,24265578
Ilean,30,2019-04-30,1.97,1,2277452
Morgan,19,2017-06-26,0.41,1,25846948
Jennifer,7,2018-09-08,0.15,1,39539952
Adam,0,,,1,39539913
Marcello,4,2015-09-18,0.08,1,39541748
Francesco,63,2018-10-25,1.41,1,198538
T.,9,2019-04-18,0.19,1,39549996
Paul,193,2019-07-01,4.13,1,17122110
Nicole,6,2016-01-03,0.13,1,9970061
Sara,12,2018-06-16,0.26,1,39599671
Graham,151,2019-05-30,3.17,1,39603420
,1,2015-08-01,0.02,1,39608626
Kyle,5,2018-07-24,0.1,3,3894475
Roula,109,2019-07-03,2.34,1,9443343
Pauline,0,,,1,39624147
Moran,16,2017-08-08,0.34,1,20670988
Sarah And Mike,45,2019-06-17,2.23,1,22863142
Puja,0,,,1,8726365
Maura,0,,,1,39635423
Peter,8,2017-08-30,0.17,1,39636434
John,1,2015-08-08,0.02,1,39639929
Sophia,7,2016-10-30,0.15,1,10095503
Mareike,4,2018-12-31,0.09,1,1348134
Marlene,125,2019-06-25,2.66,1,39639169
Izabel,66,2019-07-01,1.38,3,10475653
Jackie,1,2015-08-04,0.02,1,3353772
A,158,2019-06-23,3.35,2,39648442
Mackenzie,4,2016-09-22,0.09,1,39652597
Ron,1,2015-08-26,0.02,1,39655899
Ali,0,,,1,16173306
Avantika,39,2019-07-03,0.85,1,39699925
Andrew,5,2016-09-18,0.11,1,4398238
Jonathan,3,2015-12-31,0.06,1,4565614
Kaya,0,,,1,5287536
Sam,1,2015-08-14,0.02,1,1242357
Melanie,2,2015-11-28,0.04,1,6031454
Tom,0,,,1,38699335
Quami,186,2019-06-05,3.89,1,39713675
Lauren,0,,,1,35307662
Amanda,27,2018-12-31,0.61,1,39725165
Carly,0,,,1,1355616
Elle,1,2015-08-07,0.02,1,39742177
Hester,26,2016-12-31,0.54,1,10622338
Ronald,16,2016-10-31,0.34,1,18770940
Tal,1,2016-10-14,0.03,1,62791
Judd,0,,,1,27921486
Jeremy,0,,,1,12757332
Kyle,2,2015-08-16,0.04,1,23124921
Marine,0,,,1,23299199
Jing,0,,,1,23129690
Chris,63,2018-11-01,1.34,2,39805148
Matt & Alex,21,2016-10-03,0.45,1,3751296
Easton,172,2019-06-17,3.6,5,39808438
Kenny,108,2019-06-16,2.28,1,34312106
Sabrina,18,2016-02-15,0.38,1,16382059
Nathalie,1,2019-04-22,0.38,1,13283118
Aaron,0,,,1,4582155
Nathalia,0,,,1,17675081
Joshua,1,2016-04-27,0.03,1,17868326
Davey,10,2016-06-06,0.21,1,15762897
Abby,0,,,1,19037938
Drew,7,2018-08-08,0.15,1,7182520
Lee And Kara,33,2017-01-14,0.7,1,7399447
Erin,0,,,1,39706334
Marino,75,2019-05-26,1.61,1,35102629
Kameryn & Rob,6,2016-09-05,0.14,1,2619307
Michael,0,,,1,39868106
Zafrullah,1,2015-10-07,0.02,1,2859398
Beck,0,,,1,17163531
James,259,2019-07-01,5.44,1,39875363
Benjamin,0,,,1,8617411
Jennifer,15,2019-06-30,0.39,1,10831168
Marie,9,2019-05-27,0.19,1,39880500
A. Kaylee,90,2019-06-09,1.96,2,39915290
Marianne,3,2016-07-23,0.08,1,39916890
Kevin,2,2015-08-26,0.04,1,87494
Rachel,44,2018-03-06,0.92,5,39921605
Bindia,42,2019-07-01,1.49,1,4936739
Aleksey,13,2018-06-03,0.27,1,39938343
Akini,187,2019-06-16,3.93,1,37676608
Craig,8,2019-04-28,0.23,1,39940356
John Conor,1,2015-08-18,0.02,2,3663218
Ashley,4,2015-12-29,0.09,1,6828611
Costas,4,2019-06-04,0.09,1,1464880
Andrew,132,2019-07-06,3.14,1,710443
Grace,2,2015-09-14,0.04,1,16662303
Brad,0,,,1,39968155
Maxime,1,2015-08-31,0.02,1,38670785
Faigie,60,2019-06-17,1.29,3,15163256
Hongqing,0,,,1,39977656
Andraz,7,2019-06-29,0.15,1,39978385
David,9,2018-09-13,0.6,1,35743318
Jd,17,2019-05-24,0.37,1,6684858
Kelli,2,2015-09-03,0.04,1,13866555
Tijana,2,2019-05-21,0.17,1,16929791
Matthew,161,2019-06-21,3.39,1,37138251
Yoshihisa,0,,,1,22994376
Finley,8,2018-10-23,0.56,1,40034304
Rahim,0,,,1,19650141
Daphne,3,2016-09-12,0.07,1,4596309
Brandon,19,2016-03-22,0.43,1,40037773
Doug,2,2018-08-03,0.06,1,39455276
Marisela,2,2015-09-09,0.04,1,40041424
Steven,84,2019-07-06,1.77,1,3672503
David,0,,,1,15192120
Aaron,11,2017-01-03,0.24,1,9584747
Sloane,4,2016-05-29,0.08,1,40058595
Kevin,0,,,1,40062888
Alessandro,9,2018-05-25,0.19,1,1723544
Max,1,2015-08-01,0.02,1,15090552
Marcus,0,,,1,2484520
John,0,,,1,40068023
Lauren,2,2015-10-06,0.04,2,24170584
Tuba,13,2016-11-18,0.28,1,39835878
Maksud,32,2017-08-29,0.92,1,40072723
Kazi,6,2017-10-02,0.16,1,39918716
Dan,6,2015-08-28,0.13,1,39706100
Frances,3,2016-07-25,0.06,1,33853401
Scott,0,,,1,29999716
Russ,7,2019-03-02,0.17,1,7500
Jenny,3,2015-11-18,0.06,1,24001156
Kooky,90,2019-06-30,1.89,1,40027302
Douglas,5,2016-11-27,0.11,1,6182854
Regina,43,2019-06-29,0.99,2,40124500
Adam,5,2019-06-22,0.1,1,6072700
Dani,0,,,1,40138709
Neil,10,2019-06-12,0.21,1,40151792
James,2,2015-09-30,0.04,1,39726069
Robin & Bob,139,2019-06-30,2.93,1,405908
Felix,33,2017-12-30,0.7,1,63607
Manuela,23,2017-01-05,0.61,1,40163236
Elizabeth,2,2015-08-23,0.04,1,27784469
Abraham,17,2019-06-01,0.49,1,18985761
Brady,237,2019-06-28,5.09,7,40176101
Christopher,19,2019-03-21,0.43,1,1311104
Vanessa,195,2019-03-17,4.26,1,1163318
Andrew,0,,,1,23187157
